name,duration,comein
a1,17,0
b1,11,0
c1,10,5
d1,17,19
e1,13,23
f1,19,31
g1,13,47
h1,47,131
i1,17,300
j1,11,310
k1,12,320
l1,26,27
m1,13,23
n1,19,131
o1,12,147
p1,27,131
q1,17,0
r1,11,0
s1,11,5
t1,26,19
u1,13,340
v1,19,350
w1,10,360
meeting1,47,31
y1,21,19
z1,13,23
paperwork1,120,150
break,30,250
homecall1,65,350
a2,17,360
b2,11,360
c2,10,365
d2,17,384
e2,13,383
f2,19,391
g2,13,407
h2,47,491
i2,17,660
j2,11,670
k2,12,680
l2,26,387
m2,13,383
n2,19,491
o2,12,507
p2,27,491
q2,17,360
r2,11,360
s2,11,365
t2,26,384
u2,13,700
v2,19,710
w2,10,720
meeting2,47,391
y2,21,379
z2,13,383
paperwork2,120,510
lunch,30,610
homecall2,65,710
